uid,usFluxModel,usFluxData,canadaFluxModel,canadaFluxData
33013,0,24,37,1
06073,0,305,75,55
41039,0,28,39,6
38019,0,0,174,0
50007,0,8,1109,35
12086,72,155,44,27
53053,25,127,3869,26
53067,0,24,327,0
50005,0,6,127,7
36047,1690,229,3901,56
36113,0,8,32,2
36081,1848,156,4280,14
55089,0,0,2,23
09013,0,38,18,21
38099,0,0,47,0
24003,19,71,98,0
24510,28,41,131,0
44003,0,11,20,0
25017,737,86,2365,24
41051,8,41,1804,14
53033,61,106,9499,132
27071,0,0,13,59
26081,0,49,84,0
50011,0,6,5385,34
25021,223,92,682,20
36067,0,49,420,27
23017,2759,2724,125,0
36043,0,0,72,0
27137,0,34,315,0
36065,0,30,188,0
42077,0,57,24,16
53007,0,0,20,0
06001,109,51,639,8
34035,0,35,61,10
42007,0,41,104,5
55133,1,35,70,2
23031,1,6,144,0
27027,0,19,56,0
36053,0,2,25,3
26033,0,0,69,42
42101,263,135,583,30
39095,0,43,546,23
39169,0,8,24,13
34023,136,64,373,81
25027,107,101,406,20
38017,0,24,191,11
36087,1,20,49,5
36091,3,24,99,8
26091,0,7,22,0
17089,6,52,71,5
53035,0,23,622,7
36005,503,49,1133,11
50013,0,6,62,24
39085,0,28,1162,15
23019,8,35,968,8
02110,0,0,96,0
06013,31,49,348,24
35009,0,9,0,20
36045,0,17,740,9
50023,0,12,259,0
53005,0,36,65,14
26115,0,46,207,7
38101,0,8,237,0
36119,204,76,534,50
06099,0,0,22,7
48113,68,288,55,67
34031,41,21,178,0
48439,39,321,39,55
48121,0,64,5,29
38035,0,0,235,0
18089,1,97,68,16
50017,0,7,36,0
42017,69,102,226,14
36075,0,50,475,0
02122,0,0,99,0
12021,0,149,0,22
42133,0,50,41,0
10003,0,60,32,0
39093,0,21,684,9
41047,0,32,224,19
24033,186,81,386,0
36029,2,49,15343,184
25013,3,16,74,19
27069,0,0,63,0
12057,8,96,14,36
11001,10,94,71,7
30047,0,4,22,0
09001,78,80,274,36
09005,0,6,21,12
16055,0,26,249,4
42011,0,111,30,0
49035,0,64,29,36
27007,0,0,30,2
06085,28,13,315,18
17043,152,109,416,16
24027,1,11,33,0
53045,0,0,29,0
26155,0,5,21,0
42071,0,66,28,0
38059,0,2,71,0
34019,0,12,6,21
38013,0,1,24,2
53027,0,2,35,0
23003,1,43,1023,73
42045,41,45,161,16
55079,54,21,270,0
34021,0,14,38,9
16027,0,14,23,0
23005,0,62,134,21
12011,135,117,88,44
51810,5,197,45,0
08005,0,71,47,42
02130,0,0,136,0
30049,0,0,36,0
39133,0,0,161,0
33011,11,67,175,4
51013,0,43,22,11
36019,0,16,1727,58
53029,0,10,123,19
26151,0,0,278,7
23001,0,22,100,0
02201,0,0,21,4
17097,39,95,204,16
18097,20,58,89,14
50009,0,0,79,0
26141,0,0,59,1
39035,49,150,8406,34
39007,0,7,138,0
25025,115,48,469,0
50015,0,4,156,29
13067,53,92,42,54
26049,0,10,565,22
33009,0,26,44,2
39147,0,0,31,0
39155,0,18,202,0
36011,0,30,113,20
24025,0,44,20,15
35015,0,13,0,20
27003,6,6,125,6
38071,0,0,21,0
39173,0,30,80,10
39043,0,0,80,0
13089,85,124,65,68
26145,0,37,83,24
34015,0,37,31,4
26075,0,38,30,0
30085,0,0,24,0
53077,0,0,34,0
26161,0,51,287,21
51059,243,149,487,15
36103,415,74,968,14
36055,1,43,5695,19
34025,60,62,211,11
30111,0,7,45,0
06077,0,15,45,17
39089,0,26,24,0
37073,0,8,0,22
48339,0,71,1,57
53011,0,41,763,41
02170,2,0,760,7
36073,0,15,314,0
36061,251,317,618,122
27089,0,0,44,0
34039,54,50,198,19
17111,0,38,33,9
26095,0,0,58,0
06111,0,35,64,0
39061,26,122,111,8
02090,0,31,107,0
23029,1,2,600,32
37183,7,137,30,20
17197,38,73,145,36
53057,0,11,186,0
53063,0,5,472,38
51041,0,20,18,29
27053,127,79,475,52
23009,53,37,83,0
36001,0,26,28,10
42039,0,8,57,6
36121,0,1,120,3
42129,0,91,151,0
53073,0,24,2729,648
06071,92,115,354,0
26087,0,12,87,0
29095,5,86,28,9
26147,0,21,889,36
23021,1,5,68,0
36027,0,0,34,0
26065,0,13,103,14
06097,0,35,32,42
06081,8,25,197,18
06067,8,27,202,5
42091,95,69,271,6
17031,1576,363,4380,53
39123,0,0,63,0
23007,0,5,137,0
36051,0,23,166,8
06037,995,449,3141,404
34007,32,105,138,2
38079,0,0,95,0
42125,0,19,59,3
24005,122,85,302,15
53031,0,0,59,0
06075,2,49,144,29
26139,0,17,42,7
36009,0,18,269,12
06059,235,167,641,94
09009,97,68,316,10
36071,0,55,53,0
06065,50,97,191,50
33015,11,31,196,37
42085,0,28,46,2
02020,4,11,1549,23
26045,0,18,27,7
13121,59,185,47,48
30035,0,0,22,6
53055,0,0,61,0
23025,66,74,3168,3
23011,5177,2343,205,0
08001,0,34,30,0
53015,0,12,20,23
36089,0,36,1949,21
06095,0,11,48,7
27037,12,25,123,2
30029,0,0,197,0
42029,5,96,82,32
26069,0,17,38,0
30041,0,0,124,0
36063,1,88,26554,113
42073,0,6,32,8
26157,0,3,37,0
53061,29,26,8106,31
39103,0,26,168,0
50019,0,16,420,32
12095,14,56,18,56
04013,0,410,23,94
34005,19,81,95,0
41067,1,22,1268,0
40143,0,55,1,21
34003,217,93,550,56
30063,0,3,61,0
25005,64,41,247,0
25009,164,66,673,6
41071,0,17,40,0
16065,0,0,0,21
41043,0,0,34,7
23027,0,3,43,0
36031,0,4,87,3
30013,0,11,53,3
36033,0,14,746,4
51153,2,14,44,0
36059,532,81,1198,0
42003,25,227,665,31
39049,13,185,240,4
34027,30,28,144,9
42019,0,28,121,0
26099,114,106,6966,95
16001,0,8,23,0
18003,0,45,17,25
38009,0,0,302,0
25023,79,55,304,38
42049,0,43,798,7
27119,0,17,93,0
09003,43,119,202,7
30105,0,0,29,0
36101,0,41,65,0
16017,0,0,47,0
39153,4,106,846,31
24031,166,38,349,27
27163,0,7,48,0
36117,0,17,534,0
26103,0,0,21,2
33017,0,25,37,0
39055,0,0,96,7
39029,0,15,39,0
48201,77,345,59,70
50001,0,4,75,6
36003,0,10,48,0
39143,0,1,57,0
26125,229,86,7815,219
39099,0,30,196,0
44007,47,101,230,8
36049,0,8,41,0
42095,0,41,35,10
12099,11,213,15,21
26001,0,3,50,0
26063,0,6,53,0
36085,29,19,138,0
38015,0,6,132,0
41005,0,5,947,0
26017,0,7,63,4
39041,0,21,23,0
38105,0,4,37,0
36069,0,0,258,0
26093,0,25,154,10
53047,0,0,201,0
04019,0,101,0,52
39113,6,61,79,0
38067,0,0,175,1
29189,107,96,111,23
41053,0,0,32,7
33007,0,17,276,0
36083,0,30,24,0
39151,0,56,229,4
13135,44,164,43,9
26163,473,196,40867,228
36013,0,58,399,0
27135,0,0,86,5
36037,0,4,206,5
34029,23,71,117,2
39017,3,54,53,0
53009,0,21,1351,9
48085,0,109,8,40
34013,144,72,392,28
34017,88,47,277,5
08059,1,37,66,10
32003,0,161,9,67
53065,0,20,92,3
30101,0,0,17,20
08031,0,58,46,9
27123,32,49,214,16