uid,distance
01001,1225.43553657
01003,1008.39000391
01005,1174.36256733
01007,1273.66154611
01009,1384.5716836
01011,1192.67326401
01013,1138.47451448
01015,1372.90782937
01017,1287.89243191
01019,1408.28772636
01021,1259.54518088
01023,1127.42361389
01025,1122.1786225
01027,1317.12643111
01029,1367.38340011
01031,1111.23713064
01033,1351.44603493
01035,1099.18650971
01037,1274.25475358
01039,1085.94570209
01041,1141.58030282
01043,1373.41389659
01045,1122.23399522
01047,1198.17594978
01049,1448.679726
01051,1239.12218846
01053,1063.54266223
01055,1399.87551869
01057,1282.3677145
01059,1328.70176097
01061,1080.76563811
01063,1204.97747994
01065,1224.40336726
01067,1140.31714755
01069,1100.44395507
01071,1479.32218545
01073,1331.7687851
01075,1262.96241745
01077,1376.85844948
01079,1370.49827102
01081,1254.7453824
01083,1414.4928892
01085,1182.53077791
01087,1224.15601443
01089,1440.7802233
01091,1179.11457336
01093,1303.17128114
01095,1424.83298054
01097,1010.38676518
01099,1112.63332468
01101,1195.0279537
01103,1397.90587879
01105,1230.6567011
01107,1226.73589736
01109,1155.32454647
01111,1327.52126264
01113,1224.61347781
01115,1359.20223351
01117,1305.21732659
01119,1170.76673362
01121,1323.33390528
01123,1274.04122844
01125,1267.82744513
01127,1318.64368852
01129,1090.71545404
01131,1158.667914
01133,1340.17377993
02013,4284.5332129
02016,5530.75376879
02020,3937.71159271
02050,4417.2485405
02060,4150.54046902
02068,4146.2562977
02070,4286.91056105
02090,4102.88018314
02100,3259.26792698
02110,3147.73660596
02122,4016.47079263
02130,2773.13151672
02150,3915.17027225
02164,4109.66795983
02170,4014.30251997
02180,4786.02735062
02185,4683.88215166
02188,4737.49342763
02201,2802.83936913
02220,3070.72424341
02232,3284.63563645
02240,3925.54408241
02261,3781.77750851
02270,4626.04569769
02280,2955.64338084
02282,3495.51037319
02290,4325.07160458
04001,451.461138403
04003,64.3679071546
04005,452.395564889
04007,275.035398472
04009,178.557753332
04011,214.658458682
04012,154.593871567
04013,168.52607148
04015,372.258935766
04017,453.195968869
04019,105.368587311
04021,182.28757521
04023,24.959525388
04025,308.953480318
04027,86.3939450154
05001,1053.12147286
05003,962.617172348
05005,1115.11891301
05007,998.473167776
05009,1067.77986654
05011,943.97239846
05013,921.477272488
05015,1041.34520178
05017,1006.13978448
05019,900.359601302
05021,1255.03151097
05023,1083.44690379
05025,966.313409624
05027,844.951110984
05029,1017.90469769
05031,1204.04725883
05033,937.489901643
05035,1189.40389798
05037,1159.28853435
05039,934.525911534
05041,1038.48551571
05043,986.799739939
05045,1035.93385847
05047,953.86848771
05049,1157.24207142
05051,937.941923304
05053,971.971932638
05055,1227.96607618
05057,842.577543405
05059,934.790003467
05061,843.032909169
05063,1131.00754426
05065,1130.24192696
05067,1145.64281435
05069,1009.1279081
05071,986.504484729
05073,816.074400612
05075,1184.30029231
05077,1128.15266662
05079,1006.52324178
05081,799.061833713
05083,942.881924552
05085,1041.43890202
05087,1003.92732453
05089,1090.91654249
05091,797.595537464
05093,1242.9826256
05095,1089.36521195
05097,898.525011831
05099,865.918791645
05101,1028.61511585
05103,894.413905229
05105,979.045412347
05107,1102.58899548
05109,872.04324711
05111,1183.68775782
05113,854.507989012
05115,1007.23955006
05117,1071.38641701
05119,1011.34323454
05121,1209.5479147
05123,1144.84797698
05125,976.791200124
05127,892.929848929
05129,1062.9724459
05131,904.531207868
05133,818.87180157
05135,1166.72762122
05137,1097.71267533
05139,893.148614039
05141,1052.19354085
05143,970.122151356
05145,1084.41752024
05147,1117.60214381
05149,948.30313548
06001,720.520468831
06003,720.690807372
06005,733.640852494
06007,892.098535997
06009,704.450263067
06011,874.056149408
06013,746.164749419
06015,1193.98201389
06017,763.047624784
06019,527.064527814
06021,921.226972535
06023,1095.89198803
06025,43.2753816027
06027,449.012487649
06029,349.150855407
06031,468.483596117
06033,891.989100135
06035,964.623001157
06037,216.605025737
06039,575.397708532
06041,802.190751106
06043,617.68887036
06045,958.410516933
06047,617.218987696
06049,1058.3653494
06051,620.978240927
06053,568.51615398
06055,817.89697691
06057,823.107824111
06059,144.055938517
06061,797.811962187
06063,896.039418119
06065,128.551961126
06067,763.888738188
06069,584.919725556
06071,252.674432842
06073,51.7449935794
06075,793.262854004
06077,712.541261841
06079,445.989553489
06081,727.743498093
06083,355.768043643
06085,671.457573898
06087,673.103877185
06089,1017.12593961
06091,842.947181216
06093,1117.67027722
06095,776.335465176
06097,853.897831379
06099,664.936941141
06101,835.775904596
06103,963.14030731
06105,1051.706594
06107,440.719479721
06109,665.090465615
06111,280.492564739
06113,811.941434946
06115,842.854843247
08001,925.101291061
08003,651.277952557
08005,900.213258449
08007,609.624439439
08009,716.611372193
08011,755.459973607
08013,934.195827283
08015,778.36348596
08017,863.910995872
08019,887.035791053
08021,609.326340926
08023,623.366014468
08025,772.001406935
08027,714.702932373
08029,801.724525817
08031,903.689888565
08033,693.590038537
08035,855.319525664
08037,877.63557007
08039,868.663282215
08041,807.895620215
08043,753.051506015
08045,883.327073986
08047,907.181641659
08049,932.889479689
08051,772.453453376
08053,680.105734775
08055,675.95628537
08057,992.383517592
08059,879.691713061
08061,813.385624266
08063,911.508791636
08065,830.131343275
08067,629.183290286
08069,996.319978354
08071,659.449289286
08073,850.526763276
08075,1044.64187494
08077,828.976026073
08079,658.628243288
08081,994.300898752
08083,651.723566577
08085,759.430388595
08087,977.742936889
08089,728.321151056
08091,722.325296303
08093,823.491318043
08095,1052.16854708
08097,832.406771408
08099,785.7765702
08101,737.857552338
08103,928.340475767
08105,638.957094003
08107,973.267737958
08109,700.250141461
08111,680.399711774
08113,719.224532289
08115,1080.47385857
08117,876.940174283
08119,801.850359421
08121,960.98970094
08123,998.260880542
08125,988.601692094
09001,2552.08186229
09003,2634.86076421
09005,2610.45781354
09007,2610.72223938
09009,2585.09401965
09011,2635.07240093
09013,2658.03622525
09015,2671.79870862
10001,2254.66942813
10003,2293.96548374
10005,2222.87840069
11001,2170.84671307
12001,1034.40518774
12003,1101.77789314
12005,993.244585225
12007,1069.58133773
12009,992.538887925
12011,841.826120557
12013,1021.12787847
12015,792.088270268
12017,944.557127516
12019,1087.14907741
12021,767.196804277
12023,1078.7100197
12027,828.35487911
12029,991.720884971
12031,1130.80392718
12033,1005.59066647
12035,1065.50521396
12037,970.799434115
12039,1058.16370267
12041,1021.32755376
12043,848.101939575
12045,968.428754125
12047,1094.51399465
12049,854.076149586
12051,817.613304631
12053,920.346807683
12055,870.544918919
12057,862.671572923
12059,1056.67907201
12061,950.325473396
12063,1063.1780341
12065,1058.51406788
12067,1034.67284052
12069,976.593104279
12071,768.238047792
12073,1052.4818552
12075,977.336751608
12077,1017.5855961
12079,1072.99959214
12081,822.067903228
12083,1002.00013364
12085,913.125330624
12086,800.457183588
12087,743.578364737
12089,1152.38380622
12091,1020.26765918
12093,903.677917355
12095,974.707602066
12097,944.877954455
12099,876.656781533
12101,895.030044286
12103,842.706812099
12105,902.870495339
12107,1055.43126432
12109,1100.07965248
12111,933.439184042
12113,1018.88175362
12115,794.780614773
12117,1001.45822608
12119,953.39230861
12121,1061.79433211
12123,1023.17670642
12125,1071.93550741
12127,1033.30049429
12129,1015.81428452
12131,1023.66582714
12133,1031.6419112
13001,1246.75453218
13003,1181.05548679
13005,1225.1038166
13007,1141.81891944
13009,1356.74079179
13011,1489.60724569
13013,1445.37588209
13015,1442.88322264
13017,1219.24725291
13019,1167.44972194
13021,1319.32851706
13023,1288.03002212
13025,1202.72894066
13027,1110.4102135
13029,1307.18763274
13031,1333.6008027
13033,1393.66100381
13035,1364.18092748
13037,1157.73593458
13039,1188.74200321
13043,1322.99661305
13045,1366.42598868
13047,1508.09821781
13049,1154.30250875
13051,1317.10998125
13053,1240.81097268
13055,1457.92511223
13057,1451.66378446
13059,1450.03831427
13061,1157.75293235
13063,1379.20623238
13065,1147.34216804
13067,1416.60772016
13069,1208.30692821
13071,1143.48624448
13073,1436.70897456
13075,1148.82218016
13077,1349.05965022
13079,1302.39569953
13081,1221.66187061
13083,1496.34967159
13085,1480.4513965
13087,1091.35665666
13089,1407.43778451
13091,1263.48020571
13093,1245.91699107
13095,1170.17534967
13097,1386.17821695
13099,1128.68776131
13101,1121.02994201
13103,1345.62264943
13105,1480.0973313
13107,1334.74402201
13109,1303.60052917
13111,1521.87324059
13113,1362.21012829
13115,1437.5304349
13117,1458.44354006
13119,1498.79139546
13121,1403.18236742
13123,1500.06525965
13125,1392.12840207
13127,1224.1734949
13129,1471.15247515
13131,1098.20012304
13133,1414.36633117
13135,1433.00440673
13137,1518.59460243
13139,1476.69646269
13141,1385.69716815
13143,1386.54942248
13145,1278.71115151
13147,1502.1141383
13149,1333.66419094
13151,1375.67082774
13153,1282.28989374
13155,1201.04791927
13157,1464.72459156
13159,1374.13738139
13161,1242.45030833
13163,1379.20966858
13165,1366.83478513
13167,1333.7845436
13169,1345.13268569
13171,1335.85623471
13173,1147.82050987
13175,1294.67516696
13177,1202.3098405
13179,1285.20008356
13181,1456.38721452
13183,1268.06789287
13185,1119.88705557
13187,1498.3631906
13189,1422.94307175
13191,1256.42226034
13193,1263.66743746
13195,1472.76366512
13197,1249.19102287
13199,1316.97371362
13201,1116.80788352
13205,1137.52136352
13207,1336.54134312
13209,1283.44813856
13211,1408.55815026
13213,1505.13544955
13215,1255.94436362
13217,1393.95629768
13219,1435.71802601
13221,1447.73930168
13223,1407.71437968
13225,1290.60387584
13227,1474.08130007
13229,1209.99932701
13231,1330.79486
13233,1409.0061297
13235,1263.14406616
13237,1381.97394092
13239,1183.10860002
13241,1548.26633409
13243,1179.59063088
13245,1422.37864324
13247,1400.38369997
13249,1245.08538354
13251,1374.19008771
13253,1088.51742168
13255,1351.79124441
13257,1516.56577255
13259,1210.32312862
13261,1225.37621824
13263,1285.81304629
13265,1419.92902747
13267,1286.28844697
13269,1277.9190231
13271,1243.90185146
13273,1190.36211589
13275,1104.81026024
13277,1178.47009008
13279,1285.35951618
13281,1541.09320773
13283,1307.10763238
13285,1308.49907954
13287,1203.67023978
13289,1310.30133849
13291,1526.90589231
13293,1311.27696682
13295,1487.15503999
13297,1422.68153984
13299,1171.14679156
13301,1410.11948039
13303,1359.60040946
13305,1241.03006667
13307,1215.37987388
13309,1270.3738712
13311,1513.31967637
13313,1500.8070679
13315,1234.75298866
13317,1446.71206655
13319,1331.4985685
13321,1180.30193883
16001,1201.08722927
16003,1361.46921163
16005,1150.8388961
16007,1130.25554963
16009,1621.44536936
16011,1203.67138009
16013,1200.52094303
16015,1259.34100103
16017,1742.66161772
16019,1239.58544564
16021,1793.47814257
16023,1241.6673403
16025,1202.29917863
16027,1223.43441574
16029,1176.96713927
16031,1082.74474934
16033,1320.13530858
16035,1557.83002328
16037,1295.25337385
16039,1193.27613941
16041,1105.10554467
16043,1330.40445649
16045,1269.97740208
16047,1147.79432888
16049,1466.19295533
16051,1267.93278793
16053,1120.04001461
16055,1672.6360743
16057,1577.65729823
16059,1370.63516966
16061,1511.43172016
16063,1153.59131938
16065,1280.82006127
16067,1144.72251753
16069,1524.05847547
16071,1089.97113854
16073,1105.71482074
16075,1265.75924081
16077,1138.85131732
16079,1633.19729182
16081,1288.33179613
16083,1079.66586332
16085,1346.43743254
16087,1315.44399066
17001,1481.17819525
17003,1385.47082645
17005,1498.18260736
17007,1807.37300983
17009,1503.77099364
17011,1692.07647573
17013,1443.22886548
17015,1727.19672964
17017,1533.12453773
17019,1670.42219701
17021,1557.74446874
17023,1638.56908508
17025,1551.22158757
17027,1478.54692899
17029,1623.02280451
17031,1838.77404466
17033,1618.26935924
17035,1604.49431593
17037,1774.96651841
17039,1629.91479233
17041,1641.21839187
17043,1809.95766698
17045,1665.91762911
17047,1558.758402
17049,1565.12153022
17051,1533.82399709
17053,1703.09330491
17055,1469.01355625
17057,1576.29608522
17059,1503.82640312
17061,1475.1673057
17063,1746.9976103
17065,1502.32034403
17067,1518.75123074
17069,1484.91030462
17071,1566.40412569
17073,1655.22382628
17075,1738.90792151
17077,1423.4372386
17079,1591.63097431
17081,1490.29692397
17083,1454.93852591
17085,1739.52156354
17087,1436.94897141
17089,1797.65849343
17091,1767.06729454
17093,1768.97548787
17095,1615.01231005
17097,1885.14882182
17099,1723.15825333
17101,1600.96572157
17103,1733.62612123
17105,1706.56475936
17107,1597.80152254
17109,1549.42424932
17111,1827.99748775
17113,1657.76439296
17115,1601.55284977
17117,1496.12732497
17119,1464.10308579
17121,1514.918545
17123,1671.73916507
17125,1574.1650564
17127,1433.78297964
17129,1563.83219481
17131,1610.66958015
17133,1405.00803299
17135,1521.1737522
17137,1515.18012681
17139,1605.88644127
17141,1757.41262429
17143,1627.55779829
17145,1444.95267773
17147,1635.85466768
17149,1467.85184197
17151,1458.58139895
17153,1403.5139873
17155,1688.01462369
17157,1412.42772307
17159,1575.90350642
17161,1642.46160728
17163,1435.54066109
17165,1479.98647892
17167,1550.57336218
17169,1527.73958412
17171,1492.55863452
17173,1576.15541438
17175,1651.78286017
17177,1765.84418653
17179,1619.17624523
17181,1411.4840831
17183,1703.81957527
17185,1575.28442602
17187,1586.26780404
17189,1460.67254678
17191,1533.06401492
17193,1527.88149465
17195,1701.26917954
17197,1784.13260401
17199,1451.24340984
17201,1791.00322867
17203,1659.65646115
18001,1927.07569106
18003,1940.98873036
18005,1761.44963171
18007,1760.89358051
18009,1882.73665649
18011,1776.90561867
18013,1736.345501
18015,1807.54515903
18017,1833.13624247
18019,1730.0023057
18021,1688.53823065
18023,1793.81594298
18025,1665.41062481
18027,1645.35189062
18029,1824.46539771
18031,1796.14483387
18033,1966.788116
18035,1861.50827695
18037,1639.54028365
18039,1925.05661271
18041,1839.19303159
18043,1705.79714024
18045,1730.95716316
18047,1833.60457828
18049,1860.00891962
18051,1585.2726498
18053,1863.16197162
18055,1673.2211059
18057,1807.2361649
18059,1809.39796633
18061,1683.77596251
18063,1755.06099598
18065,1842.43533934
18067,1830.21602845
18069,1895.9429512
18071,1732.91999536
18073,1803.4606122
18075,1902.21672639
18077,1768.33118849
18079,1767.84625124
18081,1765.90754981
18083,1620.63144077
18085,1899.76969467
18087,1955.93256707
18089,1822.02225414
18091,1866.23511382
18093,1696.43868269
18095,1835.3048024
18097,1781.69728501
18099,1879.48509373
18101,1665.52855483
18103,1854.81721557
18105,1714.27522371
18107,1747.82870409
18109,1740.44092145
18111,1781.68429701
18113,1939.48813869
18115,1812.41143593
18117,1678.04935841
18119,1702.45949999
18121,1709.09156695
18123,1639.0941857
18125,1615.29383325
18127,1843.27792523
18129,1546.1546111
18131,1832.33551609
18133,1724.7649675
18135,1884.76190994
18137,1800.652764
18139,1818.13406402
18141,1899.62658479
18143,1739.35910332
18145,1788.94584298
18147,1606.72409601
18149,1852.5645239
18151,1983.33677578
18153,1647.45792986
18155,1800.79463644
18157,1772.2474751
18159,1822.28284019
18161,1856.73189361
18163,1566.0081888
18165,1697.09037572
18167,1672.26676073
18169,1876.12452886
18171,1738.41663763
18173,1593.44814576
18175,1708.99523136
18177,1865.69919466
18179,1907.63637252
18181,1800.05019413
18183,1915.62953536
19001,1456.92779026
19003,1418.25576864
19005,1769.25871055
19007,1465.62288564
19009,1477.65746117
19011,1628.51841873
19013,1653.98067576
19015,1547.5120715
19017,1682.66036291
19019,1673.67519274
19021,1579.61591352
19023,1660.08180863
19025,1558.36375894
19027,1515.66815837
19029,1441.52477051
19031,1641.65377146
19033,1675.80329285
19035,1552.84914221
19037,1709.99647442
19039,1453.8145729
19041,1607.04462891
19043,1731.06531207
19045,1682.28040473
19047,1499.83968671
19049,1508.57298383
19051,1487.15910973
19053,1425.31074882
19055,1695.20222048
19057,1562.34630038
19059,1630.31050848
19061,1716.47362979
19063,1657.76263424
19065,1710.95068494
19067,1690.90600438
19069,1641.47260199
19071,1359.18271139
19073,1531.95910205
19075,1627.43855087
19077,1491.81756095
19079,1591.01000485
19081,1658.37767059
19083,1608.44214516
19085,1450.16397531
19087,1550.64722054
19089,1739.46379073
19091,1613.18037314
19093,1530.89724995
19095,1590.16158153
19097,1704.00621984
19099,1547.31861705
19101,1531.95062141
19103,1610.44967887
19105,1674.4071781
19107,1552.39449606
19109,1656.61740142
19111,1523.85508849
19113,1647.7579555
19115,1585.71917511
19117,1472.87604044
19119,1577.59691178
19121,1474.35026909
19123,1531.23393001
19125,1511.54113913
19127,1584.66938299
19129,1388.41151187
19131,1720.10694682
19133,1477.8230653
19135,1492.41050207
19137,1402.1878939
19139,1616.3395076
19141,1581.81852562
19143,1606.38263985
19145,1373.93817302
19147,1628.38886601
19149,1521.3753985
19151,1592.88533854
19153,1526.410519
19155,1422.35911016
19157,1569.65853278
19159,1406.74737238
19161,1544.02750012
19163,1655.16335805
19165,1464.64047023
19167,1552.97711484
19169,1565.12821969
19171,1606.53462246
19173,1389.80809561
19175,1435.6899214
19177,1509.64310303
19179,1513.41420907
19181,1492.64523133
19183,1572.95781365
19185,1444.74058261
19187,1578.75671935
19189,1688.92666147
19191,1751.36946967
19193,1500.95227559
19195,1705.61640991
19197,1624.2930814
20001,1085.22754977
20003,1117.52348418
20005,1246.37233686
20007,903.170754343
20009,1026.34194197
20011,1103.12771681
20013,1266.53783216
20015,1013.38728515
20017,1075.4799486
20019,973.77816307
20021,1039.73941397
20023,992.388433232
20025,864.01927411
20027,1166.75601902
20029,1169.93067706
20031,1101.45768809
20033,888.757181829
20035,958.603426367
20037,1070.2878893
20039,1046.18503967
20041,1116.80974397
20043,1278.19461265
20045,1184.17144036
20047,946.33784794
20049,1003.57771967
20051,1028.62839757
20053,1072.79977802
20055,875.425168494
20057,894.903470538
20059,1151.42663222
20061,1142.40466883
20063,965.50868681
20065,1035.28654997
20067,801.128264578
20069,865.578507406
20071,861.745387886
20073,1045.75617601
20075,816.545867639
20077,914.454344613
20079,1022.98535767
20081,825.499032936
20083,926.368579344
20085,1216.57473237
20087,1214.81063501
20089,1162.86050089
20091,1202.36195291
20093,840.495924701
20095,951.18249405
20097,922.945804928
20099,1019.63547182
20101,927.902521647
20103,1223.11238257
20105,1104.73131329
20107,1137.42647651
20109,932.35813441
20111,1106.73944778
20113,1053.57206685
20115,1065.2930723
20117,1231.10156895
20119,830.226593567
20121,1171.37700629
20123,1132.56437283
20125,998.895416724
20127,1113.73703868
20129,741.783560054
20131,1248.14245632
20133,1053.9966954
20135,958.527046234
20137,1073.25184452
20139,1142.52198145
20141,1096.17723761
20143,1132.30203754
20145,974.233398536
20147,1101.79968207
20149,1195.29699749
20151,947.955352237
20153,1018.74763916
20155,994.983069024
20157,1200.54629022
20159,1034.84088512
20161,1173.71196788
20163,1064.72457644
20165,996.868463538
20167,1061.03022626
20169,1094.95421569
20171,904.978967701
20173,983.97540707
20175,795.101718103
20177,1180.70446121
20179,1007.10241811
20181,949.58544466
20183,1131.78903383
20185,990.421939267
20187,777.155488126
20189,770.248582334
20191,936.36516251
20193,977.57515223
20195,998.635021666
20197,1156.03313694
20199,906.126437045
20201,1214.33093875
20203,883.174775249
20205,1034.38994763
20207,1066.05729124
20209,1227.28808581
21001,1686.13881445
21003,1596.10829526
21005,1756.95603262
21007,1401.22931757
21009,1628.27369251
21011,1860.60394869
21013,1736.43892123
21015,1831.45509896
21017,1826.93152555
21019,1936.00452986
21021,1744.74034705
21023,1861.26049266
21025,1830.53556452
21027,1635.09573528
21029,1700.80523859
21031,1583.16879433
21033,1490.5058738
21035,1428.50729075
21037,1855.70515461
21039,1391.15347746
21041,1784.53622803
21043,1921.41861126
21045,1725.00113103
21047,1503.52883092
21049,1819.60632254
21051,1783.10238185
21053,1677.43592176
21055,1486.32033024
21057,1660.99596041
21059,1583.93768986
21061,1619.86738647
21063,1899.60164102
21065,1819.48482628
21067,1799.177046
21069,1874.3525979
21071,1849.45231115
21073,1778.63011099
21075,1356.27156303
21077,1809.23345082
21079,1770.78861666
21081,1820.30068823
21083,1406.6384813
21085,1623.20509837
21087,1672.83649196
21089,1943.9217651
21091,1612.37311458
21093,1665.5405037
21095,1762.51487789
21097,1830.71062001
21099,1650.42389669
21101,1552.39834117
21103,1772.15829619
21105,1379.90297717
21107,1524.72100332
21109,1800.66266696
21111,1716.94941498
21113,1780.60134374
21115,1877.90173991
21117,1843.39635343
21119,1822.29354684
