uid,U01DATA,U01OLD,U01NEW,U02DATA,U02OLD,U02NEW,U04DATA,U04OLD,U04NEW,U05DATA,U05OLD,U05NEW,U06DATA,U06OLD,U06NEW,U08DATA,U08OLD,U08NEW,U09DATA,U09OLD,U09NEW,U10DATA,U10OLD,U10NEW,U11DATA,U11OLD,U11NEW,U12DATA,U12OLD,U12NEW,U13DATA,U13OLD,U13NEW,U16DATA,U16OLD,U16NEW,U17DATA,U17OLD,U17NEW,U18DATA,U18OLD,U18NEW,U19DATA,U19OLD,U19NEW,U20DATA,U20OLD,U20NEW,U21DATA,U21OLD,U21NEW,U22DATA,U22OLD,U22NEW,U23DATA,U23OLD,U23NEW,U24DATA,U24OLD,U24NEW,U25DATA,U25OLD,U25NEW,U26DATA,U26OLD,U26NEW,U27DATA,U27OLD,U27NEW,U28DATA,U28OLD,U28NEW,U29DATA,U29OLD,U29NEW,U30DATA,U30OLD,U30NEW,U31DATA,U31OLD,U31NEW,U32DATA,U32OLD,U32NEW,U33DATA,U33OLD,U33NEW,U34DATA,U34OLD,U34NEW,U35DATA,U35OLD,U35NEW,U36DATA,U36OLD,U36NEW,U37DATA,U37OLD,U37NEW,U38DATA,U38OLD,U38NEW,U39DATA,U39OLD,U39NEW,U40DATA,U40OLD,U40NEW,U41DATA,U41OLD,U41NEW,U42DATA,U42OLD,U42NEW,U44DATA,U44OLD,U44NEW,U45DATA,U45OLD,U45NEW,U46DATA,U46OLD,U46NEW,U47DATA,U47OLD,U47NEW,U48DATA,U48OLD,U48NEW,U49DATA,U49OLD,U49NEW,U50DATA,U50OLD,U50NEW,U51DATA,U51OLD,U51NEW,U53DATA,U53OLD,U53NEW,U54DATA,U54OLD,U54NEW,U55DATA,U55OLD,U55NEW,U56DATA,U56OLD,U56NEW,CDATA,COLD,CNEW,MDATA,MOLD,MNEW
U01,399999,387621.0,387659.0,34,0.0,0.0,150,0.0,1.0,401,77.0,77.0,335,1.0,8.0,88,0.0,0.0,27,0.0,0.0,19,0.0,0.0,44,1.0,1.0,6234,23581.0,23584.0,39667,33617.0,33623.0,27,0.0,0.0,348,58.0,58.0,200,43.0,43.0,108,0.0,0.0,102,1.0,1.0,408,151.0,151.0,2095,1832.0,1832.0,39,0.0,0.0,189,4.0,4.0,163,0.0,1.0,271,7.0,8.0,100,1.0,1.0,12416,17004.0,17004.0,327,45.0,45.0,0,0.0,0.0,108,0.0,0.0,48,0.0,0.0,25,0.0,0.0,228,0.0,0.0,35,0.0,0.0,376,7.0,7.0,697,109.0,109.0,2,0.0,0.0,404,44.0,44.0,176,5.0,5.0,11,0.0,0.0,339,4.0,5.0,25,0.0,0.0,407,163.0,163.0,0,0.0,0.0,8662,10110.0,10111.0,1356,76.0,76.0,35,0.0,0.0,2,0.0,0.0,319,5.0,5.0,42,0.0,0.0,27,3.0,3.0,86,1.0,1.0,0,0.0,0.0,23,28.0,0.0,65,76.0,3.0
U02,64,0.0,0.0,15865,14039.0,14323.0,21,1.0,1.0,33,0.0,0.0,135,32.0,75.0,22,0.0,0.0,2,0.0,0.0,0,0.0,0.0,10,0.0,0.0,15,0.0,0.0,13,0.0,0.0,8,1.0,9.0,21,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20,0.0,0.0,14,0.0,0.0,0,0.0,0.0,17,0.0,0.0,2,0.0,0.0,28,0.0,0.0,25,0.0,0.0,7,0.0,0.0,19,0.0,0.0,6,0.0,5.0,0,0.0,0.0,55,2.0,5.0,0,0.0,0.0,0,0.0,0.0,10,0.0,0.0,27,0.0,0.0,7,0.0,0.0,0,0.0,0.0,5,0.0,0.0,9,0.0,0.0,97,20.0,100.0,27,0.0,0.0,0,0.0,0.0,7,0.0,0.0,0,0.0,0.0,15,0.0,0.0,65,0.0,0.0,34,1.0,2.0,0,0.0,0.0,7,0.0,0.0,362,151.0,2278.0,0,0.0,0.0,7,0.0,0.0,44,0.0,0.0,34,2826.0,242.0,2,3.0,0.0
U04,78,2.0,10.0,191,0.0,0.0,66621,63119.0,68161.0,154,4.0,14.0,8487,10401.0,14738.0,900,216.0,298.0,81,0.0,3.0,2,0.0,1.0,94,0.0,1.0,390,7.0,26.0,281,4.0,10.0,142,19.0,30.0,927,15.0,47.0,157,2.0,12.0,89,2.0,10.0,322,17.0,34.0,127,1.0,3.0,69,7.0,21.0,8,0.0,0.0,106,2.0,5.0,132,1.0,6.0,393,5.0,21.0,399,5.0,21.0,85,1.0,6.0,329,11.0,31.0,79,7.0,10.0,271,9.0,16.0,12701,14572.0,14923.0,18,0.0,0.0,225,0.0,11.0,2282,1928.0,2406.0,490,7.0,16.0,245,1.0,4.0,53,0.0,2.0,344,4.0,16.0,138,34.0,64.0,224,32.0,53.0,333,2.0,11.0,15,0.0,1.0,68,0.0,4.0,58,2.0,3.0,199,3.0,13.0,1678,319.0,535.0,1555,440.0,519.0,4,0.0,0.0,306,1.0,2.0,427,33.0,60.0,11,0.0,0.0,273,3.0,15.0,95,8.0,13.0,165,45.0,1.0,1135,12230.0,1152.0
U05,156,46.0,46.0,42,0.0,0.0,104,0.0,0.0,232410,223606.0,223620.0,581,0.0,1.0,96,0.0,0.0,42,0.0,0.0,2,0.0,0.0,30,0.0,0.0,245,1.0,1.0,288,5.0,5.0,8,0.0,0.0,469,52.0,52.0,173,3.0,3.0,100,2.0,2.0,325,324.0,324.0,205,27.0,27.0,1984,4096.0,4097.0,0,0.0,0.0,60,0.0,0.0,23,0.0,0.0,127,0.0,0.0,88,0.0,0.0,2519,4652.0,4652.0,4982,9085.0,9087.0,2,0.0,0.0,141,4.0,4.0,30,0.0,0.0,7,0.0,0.0,54,0.0,0.0,24,0.0,0.0,178,0.0,0.0,194,0.0,0.0,28,0.0,0.0,207,1.0,1.0,2877,8794.0,8795.0,13,0.0,0.0,115,0.0,0.0,24,0.0,0.0,100,0.0,0.0,9,0.0,0.0,10590,11442.0,11443.0,11166,7512.0,7512.0,59,0.0,0.0,32,0.0,0.0,180,0.0,0.0,108,0.0,0.0,2,0.0,0.0,135,0.0,0.0,17,0.0,0.0,24,6.0,0.0,35,27.0,0.0
U06,263,332.0,987.0,888,19.0,65.0,6510,22515.0,26225.0,376,570.0,1332.0,2400848,2232262.0,2269902.0,1593,6299.0,8207.0,335,110.0,229.0,99,27.0,67.0,642,27.0,58.0,2056,746.0,1823.0,1332,458.0,1258.0,305,2623.0,3136.0,2284,1459.0,4000.0,641,468.0,1414.0,337,632.0,1477.0,288,1412.0,2438.0,374,251.0,760.0,745,684.0,1762.0,56,27.0,62.0,536,210.0,502.0,1013,193.0,419.0,741,695.0,1871.0,954,1081.0,2439.0,187,276.0,889.0,973,1233.0,2799.0,171,954.0,1276.0,323,894.0,1547.0,13478,50418.0,52477.0,68,31.0,71.0,1145,295.0,676.0,475,3483.0,4249.0,3329,670.0,1504.0,633,317.0,877.0,53,223.0,431.0,820,695.0,1852.0,581,2031.0,3419.0,2541,9408.0,10862.0,1309,490.0,1225.0,122,28.0,64.0,338,182.0,487.0,75,364.0,640.0,810,474.0,1368.0,4414,11313.0,18854.0,1665,5894.0,6862.0,66,12.0,26.0,1221,240.0,628.0,2926,7659.0,9785.0,78,62.0,197.0,411,598.0,1691.0,150,654.0,860.0,838,6993.0,139.0,4395,83417.0,5702.0
U08,102,11.0,19.0,189,0.0,0.0,979,2255.0,2375.0,61,261.0,288.0,2687,1384.0,1619.0,702583,651756.0,652021.0,109,0.0,10.0,13,0.0,3.0,175,0.0,3.0,500,21.0,47.0,282,17.0,23.0,92,887.0,905.0,927,311.0,393.0,137,37.0,56.0,93,1056.0,1101.0,522,7971.0,7992.0,135,8.0,12.0,123,54.0,64.0,13,0.0,0.0,143,7.0,20.0,183,3.0,15.0,350,57.0,80.0,335,772.0,825.0,37,8.0,12.0,416,1321.0,1426.0,101,562.0,572.0,666,7737.0,7742.0,265,593.0,645.0,18,0.0,0.0,573,2.0,28.0,1816,11723.0,11726.0,459,28.0,55.0,109,5.0,14.0,48,255.0,267.0,306,38.0,59.0,201,3806.0,3853.0,126,41.0,47.0,286,11.0,38.0,19,0.0,2.0,68,2.0,7.0,162,2310.0,2311.0,189,43.0,57.0,1926,5933.0,6152.0,885,9205.0,9210.0,52,0.0,0.0,317,3.0,6.0,396,73.0,96.0,4,0.0,0.0,244,154.0,183.0,1203,7513.0,7517.0,90,296.0,4.0,158,1619.0,82.0
U09,54,11.0,17.0,12,0.0,0.0,43,7.0,14.0,16,2.0,3.0,654,34.0,85.0,143,9.0,11.0,318134,244690.0,244804.0,46,96.0,96.0,153,42.0,46.0,668,76.0,105.0,208,35.0,57.0,8,0.0,0.0,334,109.0,149.0,69,44.0,78.0,10,4.0,7.0,21,5.0,6.0,38,15.0,31.0,37,7.0,11.0,257,117.0,118.0,180,462.0,485.0,14045,26676.0,26695.0,122,158.0,254.0,89,16.0,22.0,6,1.0,2.0,71,19.0,24.0,16,0.0,0.0,33,3.0,5.0,53,3.0,5.0,315,370.0,370.0,2945,5170.0,5176.0,27,2.0,3.0,60035,106511.0,106627.0,285,128.0,225.0,0,0.0,0.0,288,238.0,370.0,41,6.0,6.0,38,0.0,3.0,679,1568.0,1631.0,3998,16223.0,16226.0,120,39.0,61.0,0,0.0,0.0,114,26.0,44.0,273,45.0,63.0,45,3.0,5.0,212,118.0,118.0,286,267.0,344.0,63,3.0,12.0,21,30.0,53.0,68,27.0,47.0,16,0.0,0.0,109,982.0,13.0,25,249.0,17.0
U10,8,0.0,1.0,3,0.0,0.0,53,0.0,1.0,0,0.0,0.0,50,1.0,5.0,16,0.0,0.0,11,39.0,39.0,20906,7532.0,7535.0,272,90.0,90.0,124,6.0,7.0,131,4.0,4.0,0,0.0,0.0,105,8.0,11.0,12,1.0,3.0,18,0.0,0.0,7,0.0,0.0,26,1.0,1.0,28,0.0,0.0,5,1.0,2.0,13639,18219.0,18223.0,39,34.0,34.0,72,9.0,15.0,16,1.0,1.0,36,0.0,0.0,56,1.0,1.0,6,0.0,0.0,13,0.0,0.0,0,0.0,0.0,6,3.0,3.0,4721,16500.0,16506.0,0,0.0,0.0,466,362.0,362.0,128,10.0,11.0,0,0.0,0.0,93,19.0,23.0,9,0.0,0.0,0,0.0,0.0,21687,20271.0,20281.0,0,7.0,7.0,9,1.0,4.0,0,0.0,0.0,12,1.0,3.0,82,3.0,4.0,0,0.0,0.0,5,0.0,0.0,728,229.0,229.0,0,0.0,0.0,15,4.0,4.0,0,1.0,1.0,0,0.0,0.0,15,55.0,1.0,7,25.0,1.0
U11,205,2.0,3.0,0,0.0,0.0,8,1.0,3.0,4,0.0,1.0,120,6.0,15.0,34,0.0,0.0,30,41.0,41.0,15,350.0,350.0,0,nan,nan,89,13.0,20.0,127,10.0,11.0,0,0.0,0.0,68,16.0,22.0,4,6.0,8.0,14,0.0,1.0,0,0.0,1.0,8,5.0,6.0,22,0.0,2.0,0,2.0,2.0,36450,29554.0,29569.0,56,34.0,39.0,24,27.0,34.0,10,2.0,2.0,25,0.0,0.0,40,3.0,5.0,0,0.0,0.0,43,0.0,1.0,17,0.0,1.0,0,4.0,4.0,92,629.0,630.0,21,0.0,0.0,438,394.0,395.0,91,107.0,108.0,0,0.0,0.0,31,83.0,89.0,0,2.0,2.0,8,0.0,0.0,251,1914.0,1915.0,0,7.0,7.0,0,11.0,14.0,10,0.0,0.0,6,6.0,10.0,74,8.0,10.0,0,0.0,1.0,17,1.0,1.0,31263,36239.0,36259.0,136,0.0,1.0,49,157.0,158.0,14,4.0,4.0,0,0.0,0.0,7,87.0,1.0,0,45.0,3.0
U12,9460,22194.0,22331.0,122,0.0,2.0,555,21.0,67.0,314,260.0,286.0,2224,152.0,383.0,587,12.0,49.0,821,73.0,92.0,174,77.0,85.0,724,91.0,100.0,1167904,1150642.0,1151462.0,13143,30293.0,30516.0,57,1.0,3.0,3021,345.0,400.0,1104,371.0,408.0,295,7.0,20.0,381,19.0,25.0,781,718.0,788.0,2179,2592.0,2700.0,190,3.0,9.0,1252,699.0,761.0,1508,96.0,125.0,2038,199.0,248.0,717,18.0,39.0,890,2942.0,3016.0,769,208.0,241.0,32,0.0,1.0,296,5.0,13.0,256,10.0,19.0,242,6.0,15.0,2699,438.0,489.0,113,2.0,14.0,5160,576.0,679.0,2677,4691.0,4913.0,52,0.0,1.0,1936,896.0,985.0,278,48.0,59.0,175,6.0,14.0,2295,807.0,893.0,244,16.0,19.0,1386,6826.0,6943.0,72,0.0,2.0,1877,1835.0,1980.0,3293,1164.0,1318.0,152,6.0,20.0,119,1.0,2.0,2471,1497.0,1638.0,282,15.0,33.0,144,269.0,295.0,800,32.0,64.0,14,0.0,0.0,384,365.0,3.0,475,3462.0,184.0
U13,10051,30738.0,30753.0,38,0.0,0.0,284,13.0,29.0,175,252.0,252.0,1518,80.0,194.0,409,20.0,24.0,184,33.0,34.0,39,23.0,23.0,385,34.0,34.0,12674,10943.0,10947.0,1489656,1456802.0,1457258.0,9,0.0,1.0,1372,645.0,647.0,371,833.0,833.0,153,18.0,18.0,123,22.0,22.0,560,2276.0,2276.0,627,431.0,431.0,66,1.0,4.0,593,265.0,265.0,472,49.0,56.0,799,282.0,284.0,343,22.0,25.0,455,1079.0,1080.0,642,344.0,345.0,16,0.0,0.0,204,8.0,9.0,112,4.0,10.0,159,6.0,8.0,760,146.0,152.0,58,4.0,4.0,1359,227.0,250.0,4147,8935.0,8940.0,20,0.0,0.0,945,1313.0,1314.0,198,26.0,27.0,52,1.0,8.0,793,437.0,438.0,79,6.0,7.0,18187,35966.0,35985.0,0,0.0,0.0,29143,23176.0,23191.0,2173,237.0,254.0,125,4.0,11.0,15,0.0,0.0,1287,1074.0,1074.0,121,5.0,22.0,60,388.0,388.0,368,67.0,70.0,27,0.0,0.0,241,312.0,4.0,134,558.0,35.0
U16,0,0.0,0.0,170,0.0,0.0,216,7.0,12.0,33,0.0,0.0,854,326.0,382.0,133,75.0,82.0,21,0.0,0.0,8,0.0,0.0,30,0.0,0.0,100,0.0,0.0,37,0.0,0.0,84491,86503.0,86525.0,92,2.0,3.0,28,0.0,0.0,58,0.0,0.0,37,0.0,0.0,31,0.0,0.0,28,0.0,0.0,2,0.0,0.0,44,0.0,0.0,21,0.0,0.0,54,0.0,0.0,85,0.0,2.0,10,0.0,0.0,51,0.0,0.0,485,1998.0,2029.0,75,0.0,0.0,819,1209.0,1216.0,11,0.0,0.0,18,0.0,0.0,13,0.0,0.0,37,0.0,0.0,15,0.0,0.0,0,0.0,0.0,57,0.0,0.0,35,0.0,0.0,4769,3481.0,3523.0,34,0.0,0.0,0,0.0,0.0,18,0.0,0.0,16,0.0,0.0,8,0.0,0.0,132,3.0,7.0,3399,4746.0,4754.0,17,0.0,0.0,46,0.0,0.0,15263,13589.0,13780.0,0,0.0,0.0,42,0.0,0.0,1578,729.0,729.0,64,406.0,5.0,0,25.0,2.0
U17,227,667.0,820.0,33,4.0,11.0,590,132.0,186.0,227,683.0,816.0,1865,492.0,962.0,602,169.0,207.0,480,201.0,247.0,25,81.0,100.0,209,84.0,101.0,1245,591.0,719.0,724,1087.0,1338.0,15,26.0,36.0,1264772,1040553.0,1041626.0,26960,83607.0,83915.0,29570,28076.0,28150.0,322,669.0,785.0,4221,9270.0,9401.0,217,228.0,271.0,52,47.0,58.0,456,767.0,927.0,537,312.0,374.0,2217,42723.0,42947.0,999,2926.0,3107.0,155,335.0,411.0,86102,81261.0,81485.0,38,16.0,23.0,367,430.0,527.0,151,47.0,64.0,85,56.0,70.0,597,739.0,878.0,69,55.0,67.0,1322,2048.0,2483.0,494,1128.0,1375.0,23,52.0,65.0,1323,15165.0,15427.0,211,373.0,454.0,57,41.0,87.0,755,2692.0,3129.0,30,51.0,59.0,167,463.0,562.0,62,118.0,150.0,747,2398.0,2737.0,1621,872.0,1053.0,39,61.0,76.0,13,29.0,36.0,582,1078.0,1323.0,271,93.0,174.0,37,703.0,796.0,14540,112178.0,112464.0,20,12.0,18.0,151,5459.0,75.0,253,2013.0,138.0
U18,144,33.0,37.0,14,0.0,0.0,142,4.0,7.0,213,9.0,11.0,454,14.0,36.0,220,1.0,4.0,67,6.0,7.0,8,2.0,3.0,85,3.0,5.0,539,19.0,20.0,274,54.0,61.0,7,0.0,0.0,62357,64998.0,65029.0,697934,687543.0,687639.0,295,75.0,79.0,45,10.0,14.0,46310,41732.0,41740.0,175,3.0,3.0,22,0.0,0.0,148,35.0,45.0,129,11.0,14.0,8538,19968.0,19973.0,252,41.0,45.0,71,3.0,3.0,656,262.0,272.0,13,0.0,0.0,170,6.0,7.0,56,2.0,2.0,25,0.0,1.0,272,29.0,30.0,9,0.0,1.0,322,72.0,94.0,351,50.0,59.0,13,0.0,0.0,21086,24345.0,24359.0,148,4.0,5.0,21,0.0,0.0,384,136.0,156.0,11,1.0,2.0,101,19.0,23.0,10,0.0,1.0,475,372.0,382.0,436,22.0,24.0,88,1.0,1.0,23,0.0,0.0,245,39.0,50.0,78,1.0,2.0,40,43.0,44.0,542,841.0,848.0,9,0.0,0.0,106,331.0,2.0,88,138.0,7.0
U19,44,0.0,0.0,14,0.0,0.0,126,0.0,0.0,65,2.0,2.0,207,0.0,1.0,174,0.0,0.0,15,0.0,0.0,2,0.0,0.0,58,0.0,0.0,247,0.0,0.0,55,0.0,0.0,21,0.0,0.0,19669,18797.0,18800.0,180,36.0,36.0,251612,264884.0,264896.0,363,305.0,305.0,46,2.0,2.0,60,0.0,0.0,10,0.0,0.0,36,0.0,0.0,20,0.0,0.0,121,29.0,29.0,4017,6136.0,6136.0,28,0.0,0.0,1661,3414.0,3415.0,17,0.0,0.0,30117,17833.0,17833.0,29,0.0,0.0,4,0.0,0.0,32,0.0,0.0,15,0.0,0.0,103,0.0,0.0,100,0.0,0.0,76,1.0,1.0,178,12.0,12.0,67,7.0,7.0,84,0.0,0.0,90,1.0,2.0,4,0.0,0.0,78,0.0,0.0,6682,2969.0,2969.0,63,4.0,4.0,308,5.0,6.0,44,0.0,0.0,13,0.0,0.0,71,0.0,0.0,72,0.0,0.0,7,0.0,0.0,2441,3202.0,3202.0,36,0.0,0.0,13,26.0,0.0,0,15.0,0.0
